comment_id,anonymous,graduating_year,job_title,program,overall_score,job_support,school
278641,False,2021,Web developer,Web Development Bootcamp,5.0,5.0,ironhack
276568,False,2018,Senior Associate,Web Development Part-Time,1.0,1.0,ironhack
276147,False,2021,UX UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
275972,True,2021,,UX/UI Design Bootcamp,4.0,3.0,ironhack
275872,False,2021,Product Designer,UX/UI Design Bootcamp,4.0,4.0,ironhack
275855,False,2021,UX UI Designer,UX/UI Design Bootcamp,4.3,4.0,ironhack
275823,False,2021,Data Analytics,,5.0,5.0,ironhack
275824,False,2021,Data Analytics,,5.0,5.0,ironhack
275818,False,2021,Web developer,Web Development Bootcamp,5.0,5.0,ironhack
275770,False,2021,Web Developer,Web Development Bootcamp,4.3,4.0,ironhack
275756,False,2021,,Web Development Bootcamp,5.0,5.0,ironhack
275755,False,2020,Software Engineer,Web Development Part-Time,5.0,5.0,ironhack
275751,False,2021,,Web Development Bootcamp,5.0,5.0,ironhack
275743,False,2021,UX UI Designer,,5.0,5.0,ironhack
275734,False,2021,Ux ui designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
275705,False,2021,ux/ui product designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
275673,False,2021,,,4.7,4.0,ironhack
275672,False,2021,Fullstack web developer,Web Development Bootcamp,5.0,5.0,ironhack
275625,False,2021,Full stack developer,Web Development Bootcamp,5.0,5.0,ironhack
275311,False,2021,UX/UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
275285,False,2021,Development Operations Engineer,Web Development Bootcamp,5.0,5.0,ironhack
274957,False,2021,Web Dev,Web Development Bootcamp,5.0,5.0,ironhack
274038,False,2020,UX Designer,UX/UI Design Part-Time,4.7,5.0,ironhack
273719,False,2020,Full-Stack Web Developer,Web Development Part-Time,5.0,5.0,ironhack
272680,False,2021,UX/UI Designer,,5.0,5.0,ironhack
272383,True,2020,Student,UX/UI Design Bootcamp,2.3,2.0,ironhack
272083,True,2020,Head of Sales / Fullstack developer,Web Development Part-Time,5.0,5.0,ironhack
271958,False,2020,Power BI Junior Consultant,,5.0,5.0,ironhack
271792,False,2020,,,5.0,5.0,ironhack
271459,False,2020,UX/UI Design,UX/UI Design Part-Time,4.7,5.0,ironhack
271405,False,2020,,UX/UI Design Bootcamp,5.0,5.0,ironhack
271389,True,2020,,Web Development Bootcamp,4.3,4.0,ironhack
271264,False,2020,Full Stack Web Developer,Web Development Part-Time,5.0,5.0,ironhack
271197,False,2020,,Web Development Part-Time,4.3,4.0,ironhack
270846,True,2020,unemployed,Web Development Bootcamp,2.7,1.0,ironhack
270766,False,2020,frontend developer,Web Development Bootcamp,5.0,5.0,ironhack
270471,False,2020,Product Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
270296,True,2020,,Web Development Bootcamp,4.7,5.0,ironhack
270295,False,2020,Product Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
270282,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
270277,True,2020,,Web Development Bootcamp,4.7,4.0,ironhack
270275,False,2020,,,4.7,5.0,ironhack
270258,True,2020,,,4.0,4.0,ironhack
270253,False,2020,,UX/UI Design Bootcamp,4.7,4.0,ironhack
270252,False,2020,,Web Development Bootcamp,4.7,4.0,ironhack
270246,False,2020,UX designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
270206,False,2020,Data Analyst,Data Analytics Bootcamp,4.0,4.0,ironhack
270185,False,2020,,Web Development Bootcamp,4.3,4.0,ironhack
270147,True,2020,Web Developer junior,Web Development Bootcamp,5.0,5.0,ironhack
270138,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
269986,False,2020,,,4.3,4.0,ironhack
269979,True,2020,,Data Analytics Bootcamp,3.3,3.0,ironhack
269959,False,2020,,Data Analytics Bootcamp,3.7,3.0,ironhack
269956,False,2020,,UX/UI Design Bootcamp,5.0,5.0,ironhack
269955,False,2020,web dev,Web Development Bootcamp,5.0,5.0,ironhack
269952,False,2020,web developper,Web Development Bootcamp,4.3,4.0,ironhack
269512,True,2019,Full stack developer,,2.7,1.0,ironhack
269343,False,2020,Unemployed,UX/UI Design Bootcamp,3.3,3.0,ironhack
269201,False,2020,UI Designer,UX/UI Design Part-Time,5.0,5.0,ironhack
269141,False,2020,Data Analyst,Data Analytics Bootcamp,5.0,5.0,ironhack
269133,False,2020,Product Designer,,5.0,5.0,ironhack
269115,False,2020,Product Designer,,4.3,3.0,ironhack
269104,False,2020,,Web Development Bootcamp,4.3,4.0,ironhack
269103,False,2020,,Web Development Bootcamp,5.0,,ironhack
269102,False,2020,UX UI Designer,UX/UI Design Bootcamp,4.7,5.0,ironhack
269045,False,2020,,Web Development Bootcamp,5.0,5.0,ironhack
269020,False,2020,CoFounder of Botcave SAS,Web Development Bootcamp,5.0,5.0,ironhack
269010,False,2020,UX designer,UX/UI Design Bootcamp,4.7,4.0,ironhack
268969,True,2020,,Data Analytics Bootcamp,3.7,3.0,ironhack
268800,True,2019,Data  analyst,Data Analytics Bootcamp,2.3,4.0,ironhack
268746,True,2020,,Web Development Bootcamp,4.7,4.0,ironhack
268442,False,2020,Full Stack Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
268440,False,2020,Fullstack Web Developer,,5.0,5.0,ironhack
268236,False,2020,Learning and Development Specialist,UX/UI Design Part-Time,1.7,1.0,ironhack
268202,False,2020,Fullstack Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
268193,False,2020,Ux/Ui Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
268172,False,2020,Junior Front End Developer,Web Development Bootcamp,5.0,5.0,ironhack
268130,False,2020,Full Stack Developer,Web Development Bootcamp,5.0,5.0,ironhack
268094,False,2020,Web Developer,Web Development Bootcamp,4.3,4.0,ironhack
268049,False,2020,,Data Analytics Bootcamp,5.0,5.0,ironhack
267977,False,2020,Junior Software Developer,Web Development Bootcamp,4.7,4.0,ironhack
267895,True,2020,,,1.3,1.0,ironhack
267864,False,2020,React Developer,Web Development Part-Time,5.0,5.0,ironhack
267742,False,2020,Web developer,Web Development Bootcamp,5.0,5.0,ironhack
